,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
age,356.3771111069954,188.19438332533278,32.41243039307902,178.04047375211434,38.29525180983058,71.62232112123007,182.07949804957002,346.3621533037259,19.38673197206461,137.5079179414889
aweekend,0.0,0.0,0.5684610160792063,0.0,1.922909786867229,3.4399268245071863,0.0,56.78395979184572,2.1398814597696454,0.0
blood_transfusion,0.0,2.862013366981398,5.67814904797412,18.19943940789873,0.0,0.0,0.0,0.0,0.36965718583490254,1.6283317187803037
cardiac_adm,0.0,0.0,7.091657740114629,0.0,0.25277801850369236,1.583655011437136,0.2487729057315917,6.305195230757362,14.144137416899168,2.5675738094077594
cc_index,0.0,0.0,286.066892289646,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chronic_pain,0.7217136350068478,0.8335259706815686,0.2440721225544849,0.2274608045392149,0.0,0.0,0.0,5.70842600633437,0.44697409326831183,0.249359752072875
cm_aids,0.0,0.0,0.5380221572944184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cm_alcohol,0.0,1.7518846155383598,0.8922997090347842,0.0,2.6610822799911484,0.5295887449213635,0.0,1.9809875947718056,0.0,0.0
cm_anemdef,0.0,10.50085471859104,6.303512541510897,15.810769368826088,4.605137094927217,0.1125342696187978,0.0,20.66993446541475,2.8520389802409536,1.7677215154544041
cm_arth,0.24898618380928556,0.0,9.301310161158899,0.0,0.0,0.8353849639096023,0.15986253726463906,4.886649108764761,0.0,3.7088234666567157
cm_bldloss,0.0,0.0,0.0,2.1367643494966497,2.6826679407245546,0.9844650214901758,0.0,2.352731340268057,0.0,2.1314851503899814
cm_chf,0.0,1.5267197755141095,15.378063586749185,0.0,0.0,0.0,0.0,0.0,3.8896636025990117,0.0
cm_chrnlung,0.0,0.0,40.3049847439822,0.0,0.0,4.9270860711876345,0.0,14.792116494609019,0.0,5.616291099375494
cm_coag,0.0,2.458156291639558,5.650524253552411,4.537838385581843,0.0,0.0,0.0,0.0,1.3336560575010123,0.0
cm_depress,0.0,1.122285115398304,0.0,0.0,0.0,5.933301244019119,1.3546730347009952,32.7791497852034,1.2411902718843009,14.619378323152148
cm_dm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.82967149134765,0.0
