,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9
age,1.65115161418862,0.2719801705466743,-1.005499531161218,0.18871370014618447,-0.9572578394426609,-0.6839613903909553,0.22183545435187535,1.5690246086766164,-1.1123159179133526,-0.1436708690017841
aweekend,-0.3661132574584159,-0.3661132574584159,-0.33402310732814655,-0.3661132574584159,-0.25756322148033617,-0.17192620660848493,-0.3661132574584159,2.8393937925757946,-0.2453149698667478,-0.3661132574584159
blood_transfusion,-0.5046471501590016,-0.0020626074737447268,0.49246557317697864,2.6912697653493374,-0.5046471501590016,-0.5046471501590016,-0.5046471501590016,-0.5046471501590016,-0.4397334115173466,-0.2187035687402163
cardiac_adm,-0.6904197308333804,-0.6904197308333804,0.8304398665010035,-0.6904197308333804,-0.6362095744038211,-0.3507929452107665,-0.6370685011063042,0.6617770377051587,2.342897432067343,-0.13978412305247295
cc_index,-0.31622776601683794,-0.31622776601683794,2.846049894151541,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794
chronic_pain,-0.07002769526414945,-0.005551528118722567,-0.34545789539935423,-0.3550367500972311,-0.48620117631196247,-0.48620117631196247,-0.48620117631196247,2.8055414306258966,-0.228455229289778,-0.3424088035207746
cm_aids,-0.316227766016838,-0.316227766016838,2.8460498941515415,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838
cm_alcohol,-0.7797370599574411,0.9680070659761558,0.1104537443944532,-0.7797370599574411,1.8750558882934798,-0.2513999709235132,-0.7797370599574411,1.1965685720466301,-0.7797370599574411,-0.7797370599574411
cm_anemdef,-0.8688357059110732,0.588071490646263,0.005724797155183067,1.3247784611118694,-0.2299108226961545,-0.8532225018757212,-0.8688357059110732,1.9989476395451964,-0.47313876251667747,-0.6235788895478125
cm_arth,-0.531610434388821,-0.6111026117439345,2.3584653604777768,-0.6111026117439345,-0.6111026117439345,-0.3443947619551197,-0.5600643534347391,0.9490256318524035,-0.6111026117439345,0.5729890044242375
cm_bldloss,-0.8827147856142503,-0.8827147856142503,-0.8827147856142503,0.9506178552433139,1.41900028253121,-0.03804894396182598,-0.8827147856142503,1.1359164042490926,-0.8827147856142503,0.9460883300094616
cm_chf,-0.42976588377184366,-0.11423353289736261,2.748470642174945,-0.42976588377184366,-0.42976588377184366,-0.42976588377184366,-0.42976588377184366,-0.42976588377184366,0.37412407712532353,-0.42976588377184366
cm_chrnlung,-0.513916974837644,-0.513916974837644,2.6416687753746815,-0.513916974837644,-0.513916974837644,-0.12816214339261464,-0.513916974837644,0.6441976435493092,-0.513916974837644,-0.07420242650551145
cm_coag,-0.6566281820585931,0.4979315415134775,1.9973396483869712,1.4747275213566775,-0.6566281820585931,-0.6566281820585931,-0.6566281820585931,-0.6566281820585931,-0.03022961890556853,-0.6566281820585931
cm_depress,-0.5405299702272247,-0.43419710846660914,-0.5405299702272247,-0.5405299702272247,-0.5405299702272247,0.02163101035431163,-0.4121791095116107,2.5651877791376716,-0.4229312319136953,0.8446085413088306
cm_dm,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,2.8460498941515415,-0.316227766016838
cm_dmcx,-0.3866441846137413,-0.23816517788656189,0.1379333603405827,-0.3866441846137413,-0.3866441846137413,-0.3866441846137413,-0.3866441846137413,-0.3866441846137413,2.806741109842168,-0.3866441846137413
cm_drug,0.4170620959997285,-0.5628837357507531,-0.5628837357507531,-0.5628837357507531,0.6065960367168282,-0.19926854541394198,-0.5628837357507531,2.5529128272019044,-0.5628837357507531,-0.5628837357507531
cm_htn_c,-0.6206560245265017,-0.6068377235105337,-0.16943520449520838,-0.6206560245265017,-0.6206560245265017,-0.4871005522067811,-0.6206560245265017,1.150892980519352,2.3302861824218564,0.26481841537732154
cm_hypothy,-0.7303484302957289,-0.5013748754304532,-0.13704236359502847,-0.7303484302957289,-0.7303484302957289,-0.5149988931609195,-0.4746216677564749,2.320643806991266,1.005226210094504,0.49321307374429263
cm_liver,-0.2106318441106059,-0.7553651881095921,2.3747350704703,-0.4436010650059339,0.45152063797104447,-0.7553651881095921,-0.7553651881095921,0.05557395613082047,0.7938639969827436,-0.7553651881095921
cm_lymph,-0.31622776601683794,-0.31622776601683794,2.8460498941515415,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794
cm_lytes,-0.31622776601683794,2.8460498941515415,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794
cm_mets,-0.316227766016838,-0.316227766016838,2.8460498941515415,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838,-0.316227766016838
cm_neuro,-0.40642687508017483,2.7380107089782646,-0.40642687508017483,-0.40642687508017483,-0.40642687508017483,-0.40642687508017483,-0.40642687508017483,0.4665841211072768,-0.40642687508017483,-0.359606704524317
cm_obese,-0.5460137184962329,-0.5460137184962329,-0.4694153134868901,-0.4148423366927872,-0.2338893249810994,-0.5460137184962329,-0.5460137184962329,0.2543405135152372,2.6752144083058345,0.3726469273246366
cm_para,-0.4964515519664016,1.6788409870810737,2.090397621495519,-0.4964515519664016,-0.4964515519664016,-0.4964515519664016,-0.4964515519664016,-0.4964515519664016,-0.29407774481178156,-0.4964515519664016
cm_perivasc,-0.533825052567495,-0.4422317287518267,2.424953008161818,-0.3943326320437929,-0.533825052567495,-0.533825052567495,-0.533825052567495,-0.2940606578599033,1.1913850097368999,-0.3504127889732146
cm_psych,-0.5239057988884248,-0.3735570951746424,-0.5239057988884248,0.2984201512220465,-0.5239057988884248,-0.25350018221331977,-0.5239057988884248,2.744634631814025,-0.27174411747960414,-0.0486301926148061
cm_pulmcirc,-0.6481645589001204,0.55202350621442,2.0444264686798737,1.407701632080295,-0.6481645589001204,-0.6481645589001204,-0.6481645589001204,-0.6481645589001204,-0.11516425357386605,-0.6481645589001204
cm_renlfail,-0.35373276642631135,-0.016804722750499976,2.8302077625604647,-0.35373276642631135,-0.35373276642631135,-0.35373276642631135,-0.35373276642631135,-0.35373276642631135,-0.3372736748257855,-0.35373276642631135
cm_smoking,-0.7243461769002842,-0.7243461769002842,-0.08989465785203803,-0.7243461769002842,0.10705116274785205,0.40566735687214556,-0.7243461769002842,2.4009132488702183,-0.6524102132236802,0.7260578101866398
cm_tumor,-0.3162277660168379,-0.3162277660168379,2.846049894151541,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379
cm_ulcer,-0.08859343372326574,-0.5540802342833587,2.024678223047462,1.721454894313525,-0.4224689787163682,-0.4646695335045598,-0.5540802342833587,-0.5540802342833587,-0.5540802342833587,-0.5540802342833587
cm_valve,-0.9745351894073746,0.48816379585428676,2.3805115041957867,0.19871857126015596,-0.9745351894073746,-0.9745351894073746,-0.06704349673187968,0.3320093884938763,-0.14132771337067393,-0.26742648147942943
cm_wghtloss,-0.4083231937074524,0.553735740852018,-0.4083231937074524,2.712849808807601,-0.4083231937074524,-0.4083231937074524,-0.4083231937074524,-0.4083231937074524,-0.4083231937074524,-0.4083231937074524
copd,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379,2.8460498941515415,-0.3162277660168379
diabetes,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379,2.8460498941515415,-0.3162277660168379
elective,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,-0.31622776601683794,2.8460498941515415
endo_adm,-0.5473408789508417,1.1847313383088178,-0.47347829040463135,-0.5473408789508417,-0.5473408789508417,-0.4758077505672929,-0.5473408789508417,0.12818172720764148,2.3730773702096744,-0.5473408789508417
