,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance,importance
aweekend,0.018397291574929992,0.019034326642117863,0.019028984961589373,0.018958860630274153,0.01862737855316728,0.018303075379471925,0.019399265417856502,0.01900189912978244,0.018748466691029104,0.01910737837632333,0.019582169935777327,0.018560545099075527,0.01809809620919634,0.019257489902955626,0.0190547037235597,0.01826446105168195,0.019069712947959866,0.01898863998011141,0.018524066662475507,0.01876770198542675,0.019504287440241262,0.018761652630592606,0.01877222072216417,0.019151762647750613,0.01972715244979541,0.01874553282374489,0.019538046441376748,0.019107157237444924,0.018627579486309307,0.018995212596705547,0.01899727698261643,0.01873060391038633,0.018253216798055586,0.018657116254842572,0.01913518181351961,0.019289123399548254,0.018792478591835356,0.018862646301230735,0.01940010618142316,0.01882288403133994,0.01932653372730628,0.018768749767216823,0.019145497004087964,0.01903318738050165,0.017942483538104397,0.018363755089888984,0.01897482099375849,0.018522144602659597,0.01913666382427181,0.019231845162407342,0.01863126732641849,0.01835001674453867,0.018966440187322766,0.018903674859597968,0.01828951310006161,0.01875903656992908,0.018734470733224613,0.0183661451475653,0.019241622678387263,0.018706666671198427,0.018886659369997637,0.018913925994533717,0.018473271555809297,0.018752560717119844,0.018912483291816842,0.018589248716463544,0.018477243618633496,0.019326900615327058,0.01857908372412099,0.01902227760729538,0.018767865458761166,0.01871957402833227,0.019426773283382114,0.018916541920597312,0.018758209645172587,0.018428205047154114,0.019553175537446354,0.018661949175079226,0.019261523227002534,0.0186705372916152,0.018972431600154573,0.01926885751710183,0.018909446427589738,0.018894259113065248,0.01925581397621295,0.01848276695748995,0.01874107494914528,0.0193289441406694,0.018406869252282205,0.019300100455799867,0.01911083221251881,0.018389455601858146,0.018542239474789293,0.019352810875307262,0.019214751201533202,0.018744232286101014,0.01873488961743578,0.019032191762593943,0.01829186545654561,0.01905542078648511
blood_transfusion,0.01632231694485974,0.015948454705780067,0.016579213854132722,0.016077324110321395,0.015321906450708397,0.016223515216879522,0.016332280181606304,0.01586849675357528,0.016115190540418625,0.015998526537261925,0.01657636916284058,0.017139539476004523,0.01632830380271053,0.015312583720332411,0.016503090843009636,0.016581790307783787,0.015474830313908877,0.01591141338833039,0.015845599662515964,0.016051402048428937,0.016140400774306767,0.01618958134429032,0.016353801747034817,0.016291534109049245,0.01653795510628993,0.016036406988364525,0.016475549837161332,0.016118411158379236,0.016036961762504135,0.01585352272889552,0.01616163284896803,0.015600242110285375,0.01544114340321172,0.017204958495713556,0.016229866213982626,0.016490749719636266,0.01548490462648626,0.01598652617008343,0.016844122806590946,0.016056576821032963,0.016287522925441722,0.01619880343042226,0.01581293884506001,0.015891580885848876,0.01632330444014561,0.016025715545291894,0.01637235562348973,0.016208885233894386,0.01656295493665581,0.01622641136856613,0.016200189724751915,0.016041098404524317,0.015859389317162784,0.016133389992832186,0.016230244793202613,0.016346260547602066,0.016549988052334916,0.01630402521432075,0.015751606685501397,0.015488401026675872,0.016407186185502663,0.016608715077758594,0.016468710912228356,0.016296886625075446,0.016175637611943756,0.01622024600075975,0.01616510672609344,0.016250926251236808,0.016152797042954758,0.016030572734164326,0.016545107830067057,0.01577839970229261,0.016119243338469365,0.016995123648476298,0.016727892103014806,0.015652296630196797,0.016413764575687082,0.016334348883758842,0.016208480873868877,0.01633564467178929,0.01624482354974436,0.01621369731862494,0.01634467437972845,0.016003502177864073,0.016401422408022823,0.016296840752149218,0.016446877136803942,0.01589326650891333,0.015730850874120846,0.016190504921765585,0.015601467678549237,0.016211668168620907,0.015790021830767897,0.016216454396446124,0.01567456553281312,0.01563805413323011,0.015754336888746643,0.016264660256247215,0.016533416901938172,0.01686340987130467
cc_index,0.04652836694907922,0.04633583080764551,0.04589553764288328,0.046512489293879175,0.04656467657687198,0.04607558440619819,0.044486167292187816,0.0460164716322365,0.04625388076979172,0.04532269495947159,0.04800681355309941,0.0475989330851792,0.047455932224569654,0.04867508628274089,0.047105774230226896,0.04626204854019493,0.046291893048254575,0.047328308926318056,0.04563598833710342,0.04604295370600302,0.04771425383025927,0.04635208616839138,0.04749838965345928,0.04673624418777726,0.04739113202301418,0.04681782298103263,0.044077867090527884,0.04783279776037593,0.04659721216689701,0.04550545399795923,0.04721658388947004,0.04746630320482572,0.04582319952206968,0.0463005353485773,0.04681425230548385,0.04660790403921294,0.04640523983446781,0.046527877768153106,0.04450627977493838,0.047673065131237036,0.04689380665778306,0.04677309570096233,0.04691449109471013,0.04632094039786491,0.04743505015573467,0.04721696113594116,0.046342021611499196,0.046962759093050185,0.045991481979978086,0.04530966794175751,0.04821418792010628,0.046642732938241685,0.04775219239670634,0.04750441287193656,0.04717196816974721,0.04541540185635761,0.04821065589243391,0.04630138208661991,0.04584813693297293,0.04622494399728352,0.04735063472874239,0.04714549684766174,0.046199407750042006,0.04753507878626472,0.0465888496745385,0.04494298920143667,0.046857671970973576,0.046993666922216966,0.047723521913543024,0.046280196984027966,0.04734273140185508,0.047693364880721824,0.04482914242145026,0.0471613068042908,0.04605351912794003,0.04599628270245338,0.04711129485709773,0.04620422184722359,0.043384747740658314,0.04722575397923511,0.048531686536908134,0.04458895958090157,0.046201745808090826,0.04500166801028572,0.045203265202890315,0.04553129408363086,0.04525121353169558,0.04425566690032839,0.04620284657409398,0.04648405827513726,0.046895993372467346,0.04671722390896803,0.047920398016828354,0.04810757476392923,0.04552448183966749,0.04652510681689826,0.047599779470998825,0.04764032021210474,0.045679023816606976,0.0464474833449427
chronic_pain,0.01029901654396421,0.010243571523256707,0.010391173859629507,0.010145430541920328,0.009374364698607838,0.009861403729773073,0.010137294595654484,0.010141402970470689,0.010163707930160004,0.010285805386113954,0.010035136350216047,0.010170244910125179,0.0102915966073612,0.009610471949211847,0.010124725862874825,0.010162853961413297,0.009681622493032588,0.010314241900831078,0.01046622554868942,0.00976508198446978,0.009780261741901821,0.010221143588106177,0.010207388110811321,0.010277398647266506,0.010076098279194961,0.009663706334844294,0.010399896580129906,0.010108855247937833,0.010443676861742166,0.0101053717666271,0.009979702700103413,0.010315742542721067,0.009946998998501586,0.010272744263134606,0.009554231063414973,0.01035092667264744,0.009931594046203798,0.010060207887946732,0.010676024211136904,0.009844383217805437,0.010248808152279345,0.010282621849027855,0.010391596093329278,0.010131278738440257,0.010488393030747783,0.010288696690931182,0.010179272680504564,0.009936085658601579,0.010041476628227856,0.00980466000278986,0.009732282643189176,0.009636861660218847,0.010244577308118754,0.00977211883349926,0.009855156065715933,0.010183317976811955,0.010029847723099079,0.010057799565151803,0.009759742484802337,0.009939726707102671,0.009707542938111198,0.010279233898878174,0.009770015615812208,0.009660150989787874,0.009785609742620428,0.010162897275054332,0.010427155718168594,0.010540776821671417,0.010012570321919254,0.010027328504663051,0.009718689835120344,0.010389500968008126,0.009805554668479828,0.009726022217118636,0.010130610894860162,0.009942654526054872,0.010009839973738038,0.010217039291520054,0.009676541969101825,0.010203596673970666,0.010133448233432698,0.010024582973711414,0.010156377986147153,0.010153842962935804,0.010557674555018425,0.010339220492104284,0.010101372595329826,0.010335569293049147,0.010161038763735225,0.010228497940281061,0.010440150482826387,0.009836527579413794,0.009872615543233407,0.009815115908478273,0.009835916734957486,0.010230641191603876,0.01007318825463797,0.009658722928190769,0.010159837362428918,0.01017754906290341
cm_alcohol,0.008043732464686834,0.008295091627271848,0.00838690270717741,0.008235796573411466,0.00801564442092208,0.0083231834945702,0.008757933572125662,0.0085790541472495,0.008578110642553316,0.008134312423863557,0.008410501101267735,0.00835139032539242,0.008030593844122148,0.008081470929067964,0.008522789575526617,0.00864287915342211,0.008554755210662108,0.008347492056335766,0.008437130928200153,0.008058973716932604,0.008328815059697058,0.008330926076016558,0.008415448239401806,0.008201662439577772,0.00826081398326949,0.008028800693640412,0.008120810893213303,0.008330032809921065,0.008339620322682276,0.008240633662714205,0.008586636804037024,0.008336904570612492,0.008160098533330235,0.00811525914797013,0.00815514443207622,0.008601396005290958,0.008375963478420121,0.008126831737862272,0.008175326392295996,0.00835213010307118,0.007935069048546803,0.008475863788751105,0.008352131460725111,0.008413337562282318,0.008347895918327611,0.008057259034928892,0.008439540507867221,0.008349409423907045,0.008204617545091561,0.008357789559858584,0.00866970188864519,0.00799182647204081,0.008126052055835763,0.008421129668393607,0.008201856458883895,0.008544387871292093,0.008115606122506294,0.008546904518352097,0.008146086485594537,0.008111215668332453,0.0085246299515426,0.008108061358629029,0.008048180936399054,0.0086722894342395,0.008544225768467601,0.00818787595755854,0.008160384268005673,0.008158597254718961,0.00837228491151538,0.008190758594663637,0.008510343561470944,0.008202381971197357,0.008219145252207185,0.008066944255676365,0.008042690202744155,0.008476504992949694,0.008383242462297717,0.008387151739390496,0.008264871242931626,0.007740528115116482,0.008235435399579239,0.008232748003018073,0.008465196100939354,0.008418507464314662,0.008487273741049179,0.008021563400629499,0.008049786068681277,0.008072104776013122,0.007963858744011587,0.00811811065958597,0.008122377163811121,0.008306414919840436,0.008302553208618729,0.008750298145254397,0.008578190117483247,0.007919593010492268,0.008164774336510472,0.008680006306785079,0.008123647104133535,0.008454118633886851
cm_anemdef,0.024082460171480947,0.024316147723424785,0.024086818575733422,0.023663152743150936,0.023803914758405726,0.024054114560340498,0.024830041191220325,0.025015365784580683,0.024669607587693987,0.024777946277188028,0.024238403201606962,0.023902131462574975,0.023850297539989292,0.024310369917469262,0.02488513568391457,0.02402704112831636,0.0245209890018805,0.024585327010739722,0.024627775362999735,0.024294971750472714,0.024442662126825145,0.023963969059608986,0.023862895217491353,0.02373429110308411,0.023912887531113026,0.02433667300563598,0.02366493126909113,0.024511702933702896,0.024058786368786195,0.024354134731733403,0.024299409407154984,0.024247420863773395,0.02409084972356603,0.024780197016347046,0.024254452624779144,0.023584067962426486,0.02322798417861323,0.024100152086696032,0.023583907282949436,0.02438494834397105,0.024188598981667066,0.02419101996778698,0.024138262518531857,0.02524107887896801,0.02412125090019988,0.0243280515986245,0.02415750282251429,0.024530727252690596,0.024012611296527746,0.023887010550237547,0.02471505636921401,0.02469710085205152,0.02433524099422485,0.02408792277730744,0.023526204131255307,0.023852956273892494,0.02397413155488553,0.024449241243804487,0.023872513722027554,0.023747615376132562,0.02418820685840246,0.023673365310961925,0.023638733491837077,0.024539901778498904,0.024026409934968265,0.025052884050035737,0.024122195097965978,0.024417459344741432,0.02341842959756136,0.023685885742190306,0.024066302047343908,0.02469561616180584,0.024484867356601745,0.02444618261691939,0.023598065637311108,0.02505468860002972,0.02354236895677241,0.023828747588776015,0.024544828831022537,0.02479937484533399,0.023453182416642404,0.024825027884693863,0.023696413469087452,0.023441544687526798,0.025101749842380568,0.023884432493485874,0.02432542679785901,0.024196866628490715,0.023582697581442623,0.02397793097365905,0.02390861544007006,0.024590225008283343,0.02368458346030862,0.023948064740399455,0.024298589965020073,0.0242511543246833,0.023755236096053026,0.02439654583647389,0.023645079896407736,0.024086796106874406
cm_arth,0.011963754718814801,0.011376447019480424,0.011175275349159065,0.01152511344610596,0.01113497281287531,0.012057656928752613,0.011454220874643387,0.011359534817113714,0.01108557405960805,0.011281441091971609,0.011575443096069627,0.011453384897734238,0.012071232965820557,0.01141209595344481,0.011226933326684252,0.011199289969080638,0.011182451728724035,0.011514241461513938,0.011085742308386118,0.011536795135289307,0.011946199547922805,0.011420900228567985,0.011918861208691726,0.011446080771814934,0.011701962019777575,0.011527131644481377,0.01170778685470357,0.011508364532400964,0.01159045578298429,0.011844702455094776,0.012020171422908787,0.011239885819059946,0.011471779469791873,0.011244301049633193,0.011386001649147857,0.011460828642566777,0.011319370843857651,0.012034500159152728,0.011806120286435642,0.011480819699721097,0.011219415796439923,0.011192653600411632,0.011483150998005207,0.012072686963980941,0.011430453289547908,0.01134598143706671,0.011936580318797622,0.010673153778381881,0.011614323670845956,0.011295724756056662,0.011531727255826692,0.011226576562301126,0.011272529862277635,0.011170507162079388,0.011745827075892981,0.011956962864217725,0.011322942468074611,0.011519389347119002,0.01137329894219015,0.010869985704320595,0.011562163886973354,0.011326065173856656,0.011983245200195081,0.011473241671540782,0.012019765740333201,0.011411119154485588,0.01132841670183729,0.011079092286980724,0.011581112304152668,0.011340462888397414,0.01168430753730004,0.011613132205417558,0.011424566187962336,0.011784337568488398,0.011080144312460332,0.011824298294019967,0.012361663535773353,0.01153922103058627,0.011236800159452437,0.011273059830893554,0.011580290240458938,0.011601408953143887,0.011094988299035324,0.01200695727170466,0.011198729008963343,0.01150935772942559,0.011874695217761274,0.011418880793207882,0.011615844114300288,0.01098323138440729,0.011218539372597367,0.01155173557588755,0.012047256418850997,0.011877568775717825,0.011610773313828064,0.011784712582029405,0.011578241002614629,0.011496256905939344,0.011303341768862551,0.010863675658735927
cm_chf,0.010364600612693826,0.010166299847520375,0.010627659630550172,0.0104349057439638,0.010432365127436885,0.010097832527337468,0.01034819379326552,0.010570675941450997,0.010731419869291655,0.010858865711613465,0.010963768980864022,0.010435312309501829,0.01049619321611327,0.010110130909226779,0.010302275228827661,0.010666098588987972,0.01025848480624565,0.010396613365914948,0.010533207721098723,0.011039214158989287,0.010501592106856476,0.01016880684578679,0.010687551588790489,0.010503655058507899,0.010193302702257073,0.010724730669553798,0.010484203318627544,0.010696351710318382,0.010205952213612242,0.010044485400899111,0.01008459676917686,0.01070801747676612,0.010261101942351965,0.010410219445213913,0.010152648992915023,0.01100016630163275,0.01016890387939411,0.010426518228097715,0.01046212616890149,0.010293126101731996,0.010599232466067749,0.010267981758594507,0.010599122867644238,0.01089258203322933,0.01063056617969546,0.01097495453889771,0.010441154321800114,0.01057658300865569,0.010794197140367397,0.010680526951945088,0.01058801272487615,0.010083683387417174,0.010445511167673087,0.010866617523417636,0.010469498898334933,0.010592165242285003,0.010783145515930603,0.01020575155659861,0.010448000987651244,0.010341099950757649,0.010486300113081529,0.010877786071223897,0.010388563949923005,0.01041338615945722,0.010802871146291384,0.01059832168543814,0.010402615125740073,0.010191310958573655,0.010411888479771326,0.01046216240626223,0.010126934605989788,0.010340934050029303,0.010586757064739253,0.010716672057222563,0.01026522618240049,0.010157187202113884,0.01064699328166544,0.010612680913147626,0.011025210877793491,0.010971893216768572,0.010055950059676504,0.010543632969635158,0.010117935191117821,0.010336163893365754,0.01054863176436673,0.010800537245413114,0.010315923841876145,0.010161509307873644,0.01067243509264969,0.010900279441634398,0.011095371417191652,0.010679502828177305,0.010662794082691813,0.010417206119379062,0.010382273787159663,0.010206557232155612,0.010624556691819283,0.011044875160110962,0.010876402639359415,0.011311093290334131
cm_chrnlung,0.015247997910316379,0.01559957495295697,0.01570232421527861,0.01548892672205303,0.016038929770414767,0.015522232937443725,0.014769964780125783,0.015961204525697447,0.015287212148012956,0.015314826248796262,0.015243684558683199,0.01555099420717261,0.015415193727807764,0.015727526149371524,0.015653224678838697,0.015579544238252495,0.01602189055538045,0.015395767610608981,0.015379811036755066,0.015647418659151098,0.015971283453500604,0.01526090484864071,0.01561647869286743,0.01541773950503349,0.01538422288870792,0.01560242520400204,0.015518463753647259,0.01572366123548493,0.015601362565189873,0.015260718042956858,0.015636135106358414,0.015173826718463271,0.01509268512379182,0.015230230121122965,0.015519345674818056,0.015571636246490422,0.014801014528364914,0.015355213762995572,0.015189588358337435,0.015250024726685062,0.015381980446024806,0.015126472890710608,0.01535784767189569,0.015877541184099852,0.01572445263096783,0.016047594069223743,0.01546215062398991,0.01515949383429282,0.015319089590075346,0.015920149888814555,0.015813438823115644,0.015348161339565897,0.015379953413294819,0.015770117975292694,0.01579853481166923,0.015600577635499381,0.015922300637403304,0.015844455279624445,0.014881703588722095,0.015862958940690643,0.015493181888567378,0.01606086295047174,0.015183076466877091,0.015284680429566195,0.01521521223525978,0.015162375072301374,0.015683238783302272,0.015448348112667093,0.016243114728178763,0.015415086242193711,0.015528932369655439,0.014719701551315294,0.014871361256842117,0.015363843794981265,0.015595585876204299,0.015284273709210655,0.0157682638724679,0.015409508664662926,0.0164128252986468,0.015085079742533574,0.015477593037887224,0.015685130025075402,0.015376698547785938,0.015213403850028093,0.015493006197811698,0.015751316878685567,0.01603527910904004,0.01590571726914689,0.015953758197674053,0.014754341974586709,0.01581994879723712,0.016248398202213653,0.015618280384332304,0.015508561113983719,0.015352801371594945,0.015753417623212196,0.015658321141585958,0.015128794868594675,0.01562953731944036,0.0169187057430079
cm_depress,0.01856074760027737,0.018050568356123183,0.01745451307434508,0.018018332018009443,0.01765915457874611,0.018267023570655065,0.017832373738251053,0.018651003802642955,0.018468613672968766,0.01774273853308282,0.018538543147673458,0.017753929525616417,0.018339076812261584,0.018142022288775914,0.01842983936799163,0.01820607691634713,0.019505444440495012,0.018167163842109795,0.018291352160532334,0.01826772129506966,0.01793431675165574,0.01785695808733408,0.018327793849233557,0.018120862793215432,0.01759623192685028,0.018366050327049917,0.019393448875676105,0.018041571225368928,0.01849601211257058,0.017795515970463277,0.018168690420131018,0.01852907532757251,0.018079724746268303,0.018658338077678,0.01927724272545462,0.018974289752511895,0.01836024730017315,0.018664853102415745,0.01827534797656754,0.018639175777895953,0.018509484048059806,0.018666761429069142,0.01853973006199861,0.018193295913785535,0.018355639032166263,0.018594866088922805,0.018145360056692792,0.018451669512041167,0.018306517481356973,0.018757517462746173,0.01810466620360213,0.017835947341172265,0.018582941162355773,0.01858576282787923,0.01880870247774714,0.01867879850006371,0.018414608120084136,0.017885327098432467,0.0186060964816829,0.017564891625862843,0.01806886916483063,0.01804640228267938,0.01879422090472173,0.018115588828441165,0.018507215803589144,0.018597311671419422,0.01817987699600415,0.018366914355690926,0.019030197454831428,0.01947296392104133,0.01755717067502209,0.0184384614657334,0.018207793596159177,0.018017244687894566,0.018524247833247992,0.01856543224115376,0.018150958294973398,0.01814129875865064,0.017874357967300095,0.017290414450066315,0.01838153996193044,0.018904773562666573,0.017985806988486314,0.01790554930898829,0.01793820817774888,0.01839266770741268,0.01788288717277569,0.018577190828360565,0.01783741262882826,0.01803401454464239,0.018305968011681554,0.017986263093061554,0.01819054020284681,0.01864520597575936,0.018566701589552207,0.018231793579280973,0.01825204030723289,0.018594979557779456,0.01916524691159993,0.018156320813213438
