,p-value,U,avg_readmit,95%CI_low_readmit,95%CI_high_readmit,avg_no_readmit,95%CI_low_no_readmit,95%CI_high_no_readmit,B-H_corrected_is_significant,B-H_corrected_p_val
age,0.486566006349665,166446743.5,56.95955491654685,56.669520157176756,57.24958967591696,56.95955491654685,56.669520157176756,57.24958967591696,False,0.4905069129081832
female,0.19399461443638535,165736482.5,0.5835469150465712,0.5759068652958096,0.5911869647973328,0.5835469150465712,0.5759068652958096,0.5911869647973328,False,0.23273989898142755
los,4.7227856968315125e-107,144462737.5,6.640307557667063,6.506469301337259,6.774145813996865,6.640307557667063,6.506469301337259,6.774145813996865,True,3.77822855746521e-106
aweekend,0.00419387811846158,164603021.0,0.21585297243233104,0.2094769032129869,0.22222904165167526,0.21585297243233104,0.2094769032129869,0.22222904165167526,True,0.006615695060108407
elective,3.7786473890368333e-44,157391723.5,0.13715071575920484,0.1318193096299626,0.14248212188844708,0.13715071575920484,0.1318193096299626,0.14248212188844708,True,1.6277250291235584e-43
orproc,1.6007536695234535e-43,156014443.0,0.2157904607113834,0.20941506071775828,0.2221658607050085,0.2157904607113834,0.20941506071775828,0.2221658607050085,True,6.765449471193463e-43
hosp_urban_rural_location,0.0007993123179000027,164983757.0,0.07470150653247484,0.07062694515799972,0.07877606790694996,0.07470150653247484,0.07062694515799972,0.07877606790694996,True,0.0013462102196210573
payer,3.466545929596045e-66,151373588.0,1.47133837594549,1.4598449197739989,1.4828318321169809,1.47133837594549,1.4598449197739989,1.4828318321169809,True,1.8488244957845571e-65
zipinc_qrtl,1.6939884439995741e-12,159671301.0,2.4977808339063574,2.4806702803438365,2.5148913874688783,2.4977808339063574,2.4806702803438365,2.5148913874688783,True,4.5717278488663214e-12
severe_IBD_hospitalization,2.1697345418470934e-47,156118915.5,0.2500468837907108,0.2433356396716012,0.25675812790982033,0.2500468837907108,0.2433356396716012,0.25675812790982033,True,9.720410747474979e-47
cm_aids,0.4065005727322575,166465376.0,0.0014377695817965868,0.0008505406162341128,0.002024998547359061,0.0014377695817965868,0.0008505406162341128,0.002024998547359061,False,0.4485523561183531
cm_alcohol,0.01661328605058206,165819117.0,0.03481902856785647,0.03197791916863235,0.037660137967080586,0.03481902856785647,0.03197791916863235,0.037660137967080586,True,0.024400588570948692
cm_anemdef,5.4889853195146354e-39,156581592.0,0.2866162405451022,0.2796083507622038,0.2936241303280006,0.2866162405451022,0.2796083507622038,0.2936241303280006,True,2.2769124288357003e-38
cm_arth,6.559508896711645e-05,164943521.5,0.06107395136588111,0.05736271205702347,0.06478519067473874,0.06107395136588111,0.05736271205702347,0.06478519067473874,True,0.0001184943542631781
cm_bldloss,0.07800457193922099,166035019.0,0.031818465962367946,0.029098313337803976,0.03453861858693192,0.031818465962367946,0.029098313337803976,0.03453861858693192,False,0.10218142756950586
cm_chf,1.2678789534117135e-19,162612768.5,0.07776458085891104,0.0736142083982151,0.08191495331960698,0.07776458085891104,0.0736142083982151,0.08191495331960698,True,3.9445122995031077e-19
cm_chrnlung,2.0829809110539748e-17,160586285.0,0.22066637494530225,0.21423942313207275,0.22709332675853175,0.22066637494530225,0.21423942313207275,0.22709332675853175,True,6.305239514541763e-17
cm_depress,5.639380176355375e-10,162538594.0,0.1768456585609802,0.17093258755758806,0.18275872956437236,0.1768456585609802,0.17093258755758806,0.18275872956437236,True,1.41934961741978e-09
cm_coag,0.2967034368184077,166263721.5,0.05794836531849721,0.05432732630026671,0.06156940433672772,0.05794836531849721,0.05432732630026671,0.06156940433672772,False,0.3390896420781802
cm_dm,9.433414161646473e-08,163179995.5,0.16621866599987498,0.160449125363774,0.17198820663597594,0.16621866599987498,0.160449125363774,0.17198820663597594,True,2.1344290628371812e-07
cm_dmcx,1.8028414863331628e-15,164143028.5,0.03763205601050197,0.03468271626414856,0.04058139575685538,0.03763205601050197,0.03468271626414856,0.04058139575685538,True,5.244629778423746e-15
cm_drug,6.043944115608524e-20,163131491.0,0.05807338876039257,0.05444868620416654,0.0616980913166186,0.05807338876039257,0.05444868620416654,0.0616980913166186,True,1.90682180548776e-19
cm_htn_c,0.1972701718836854,165738663.5,0.4570857035694192,0.4493653051334874,0.4648061020053511,0.4570857035694192,0.4493653051334874,0.4648061020053511,False,0.2350453111805613
cm_hypothy,0.4386738264622809,166391844.5,0.12396074263924485,0.1188535866244879,0.12906789865400184,0.12396074263924485,0.1188535866244879,0.12906789865400184,False,0.4679187482264329
cm_liver,6.3662851845539926e-06,164835708.5,0.05432268550353191,0.05081001545643075,0.05783535555063307,0.05432268550353191,0.05081001545643075,0.05783535555063307,True,1.2509191941579775e-05
cm_lymph,0.002910228396507512,166078055.0,0.00837657060698881,0.006964092345459933,0.009789048868517686,0.00837657060698881,0.006964092345459933,0.009789048868517686,True,0.0046563654344120185
cm_lytes,1.2425631249243247e-07,162082453.5,0.4018878539726199,0.3942895089922404,0.4094861989529994,0.4018878539726199,0.3942895089922404,0.4094861989529994,True,2.728766078265184e-07
cm_mets,2.7545928311989333e-05,165564450.5,0.020253797587047567,0.01807063900636108,0.02243695616773406,0.020253797587047567,0.01807063900636108,0.02243695616773406,True,5.1419066182380075e-05
cm_neuro,3.6769809354598835e-08,164006973.0,0.08289054197662063,0.07861748846143378,0.08716359549180748,0.08289054197662063,0.07861748846143378,0.08716359549180748,True,8.57962218273973e-08
cm_obese,0.4905069129081832,166467954.5,0.10595736700631367,0.10118734975804124,0.11072738425458613,0.10595736700631367,0.10118734975804124,0.11072738425458613,False,0.4905069129081832
cm_para,0.0022294928562241714,165872022.5,0.01725323498155904,0.01523518770492533,0.019271282258192756,0.01725323498155904,0.01523518770492533,0.019271282258192756,True,0.003618886955030539
cm_perivasc,5.044344542941079e-07,164659831.0,0.053697568294055135,0.05020401362528308,0.05719112296282719,0.053697568294055135,0.05020401362528308,0.05719112296282719,True,1.0864742092488475e-06
cm_psych,1.007280886395525e-13,163539976.0,0.06532474839032319,0.06149522699074191,0.06915426978990448,0.06532474839032319,0.06149522699074191,0.06915426978990448,True,2.7855668957110817e-13
cm_pulmcirc,4.882483455144108e-05,165521602.0,0.02344189535537913,0.02109701514231949,0.025786775568438777,0.02344189535537913,0.02109701514231949,0.025786775568438777,True,8.891677186603902e-05
cm_renlfail,2.7605936100035007e-34,160006454.0,0.1252734887791461,0.12014320974383028,0.13040376781446192,0.1252734887791461,0.12014320974383028,0.13040376781446192,True,1.0306216144013067e-33
cm_tumor,9.074740302055943e-05,165609943.5,0.020941426517472026,0.018722296619424025,0.023160556415520027,0.020941426517472026,0.018722296619424025,0.023160556415520027,True,0.00016132871648099454
cm_ulcer,0.14005600300371412,166428654.5,0.0009376758142151655,0.0004633269074322909,0.0014120247209980401,0.0009376758142151655,0.0004633269074322909,0.0014120247209980401,False,0.1744034126520252
cm_valve,0.013625143157414437,165756138.0,0.0389448021504032,0.035946508444921615,0.04194309585588479,0.0389448021504032,0.035946508444921615,0.04194309585588479,True,0.02021213289576711
cm_wghtloss,9.70173928530688e-13,162669897.5,0.12008501594048886,0.11504722637160635,0.12512280550937135,0.12008501594048886,0.11504722637160635,0.12512280550937135,True,2.6502312194009037e-12
diabetes,1.2091953968550648e-16,160602900.5,0.2331062074138901,0.22655351493685785,0.2396588998909224,0.2331062074138901,0.22655351493685785,0.2396588998909224,True,3.5639443275728235e-16
copd,1.2091953968550648e-16,160602900.5,0.2331062074138901,0.22655351493685785,0.2396588998909224,0.2331062074138901,0.22655351493685785,0.2396588998909224,True,3.5639443275728235e-16
cm_smoking,2.2001415783876294e-05,163214122.5,0.3077452022254173,0.3005919442326797,0.3148984602181549,0.3077452022254173,0.3005919442326797,0.3148984602181549,True,4.141442971082597e-05
blood_transfusion,3.598594397432692e-15,162004199.5,0.1384009501781584,0.13304918070883853,0.14375271964747827,0.1384009501781584,0.13304918070883853,0.14375271964747827,True,1.033442493621696e-14
ibd_procedures,0.062347875616584635,165259484.5,0.2955554166406201,0.28848380935303763,0.3026270239282026,0.2955554166406201,0.28848380935303763,0.3026270239282026,False,0.08362828825218538
cc_index,4.107987055350809e-87,148115440.0,1.2449834343939488,1.2173062714038785,1.272660597384019,1.2449834343939488,1.2173062714038785,1.272660597384019,True,2.556080834440503e-86
new_cc_index,8.281638830996654e-85,148536019.0,0.8424704632118523,0.8290090056195581,0.8559319208041464,0.8424704632118523,0.8290090056195581,0.8559319208041464,True,5.013748913900678e-84
fractures,0.04498968489331066,166020177.5,0.023129336750640744,0.02079976881811451,0.025458904683166982,0.023129336750640744,0.02079976881811451,0.025458904683166982,False,0.06259434419938875
thromboses,2.5546399415421565e-23,161675268.0,0.10064387072576107,0.09598119974077746,0.10530654171074473,0.10064387072576107,0.09598119974077746,0.10530654171074473,True,8.41528451331534e-23
unplanned_adm,3.7786473890368333e-44,157391723.5,0.8628492842407951,0.8575178781115529,0.8681806903700373,0.8628492842407951,0.8575178781115529,0.8681806903700373,True,1.6277250291235584e-43
pq1_dm_short,0.017825825408440268,166301183.0,0.0030005626054885287,0.002152897981258889,0.0038482272297181703,0.0030005626054885287,0.002152897981258889,0.0038482272297181703,True,0.02576119284832658
pq2_perf_appendix,0.0008232830021617258,166264136.0,0.0008126523723198098,0.00037102994250356086,0.001254274802136059,0.0008126523723198098,0.00037102994250356086,0.001254274802136059,True,0.0013762342722703476
pq3_dm_long,0.0006886008504813416,166160212.5,0.004375820466337438,0.0033528744359862662,0.0053987664966886105,0.004375820466337438,0.0033528744359862662,0.0053987664966886105,True,0.0011685347765743976
pq5_copd_asthma,4.070186776589539e-09,165061464.5,0.02500468837907108,0.022584845082105016,0.027424531676037138,0.02500468837907108,0.022584845082105016,0.027424531676037138,True,9.699168488894219e-09
pq7_htn,0.07284083659312013,166370614.5,0.0015002813027442643,0.000900441088759835,0.0021001215167286945,0.0015002813027442643,0.000900441088759835,0.0021001215167286945,False,0.09654643430094027
pq8_chf,1.0631893804459873e-07,165550984.0,0.013752578608489092,0.011947649019818507,0.015557508197159675,0.013752578608489092,0.011947649019818507,0.015557508197159675,True,2.3579645665336748e-07
pq10_dehydrate,0.4312498491065624,166443024.0,0.015627930236919427,0.013705699004459115,0.01755016146937973,0.015627930236919427,0.013705699004459115,0.01755016146937973,False,0.4622007952146889
pq11_bacterialpna,0.4706754984202839,166462691.0,0.02019128586609989,0.01801142942246289,0.02237114230973689,0.02019128586609989,0.01801142942246289,0.02237114230973689,False,0.4881079242877018
pq12_uti,0.00616431080011199,166043205.0,0.011564668375320372,0.009907693289825959,0.013221643460814786,0.011564668375320372,0.009907693289825959,0.013221643460814786,True,0.009522797373966108
pq13_angina,0.2504073056304186,166448874.5,0.0006251172094767769,0.00023775236921128916,0.0010124820497422649,0.0006251172094767769,0.00023775236921128916,0.0010124820497422649,False,0.2891300848516173
pq14_diabeteswocomp,0.04156727163953757,166411884.5,0.0007501406513721322,0.00032583027283023577,0.0011744510299140287,0.0007501406513721322,0.00032583027283023577,0.0011744510299140287,False,0.058930815488964665
pq15_asthma,0.0117787537038674,166196755.0,0.006126148652872414,0.004916846979474756,0.00733545032627007,0.006126148652872414,0.004916846979474756,0.00733545032627007,True,0.017589605531108655
pq16_dm_amputate,0.007454594192891332,166400704.5,0.0006251172094767769,0.00023775236921128907,0.0010124820497422649,0.0006251172094767769,0.00023775236921128907,0.0010124820497422649,True,0.011359381627262985
new_mi_adm,0.17596232305080795,166308742.0,0.010689504282052885,0.009095753733669559,0.01228325483043621,0.010689504282052885,0.009095753733669559,0.01228325483043621,False,0.21421500197489665
new_chf_adm,1.2039059758792144e-09,164262135.5,0.05488529099206101,0.05135552834645323,0.0584150536376688,0.05488529099206101,0.05135552834645323,0.0584150536376688,True,2.9963882066327106e-09
new_unstableangina_adm,0.03639674440575187,166298807.0,0.0027505157216978185,0.0019388368670215789,0.0035621945763740577,0.0027505157216978185,0.0019388368670215789,0.0035621945763740577,False,0.051929113037505865
new_arrhythmia_adm,0.41065797812179816,166385481.0,0.062261674063886975,0.05851689253422367,0.0660064555935503,0.062261674063886975,0.05851689253422367,0.0660064555935503,False,0.4487189614599161
new_cardiacarrest_adm,4.8295301708516815e-06,166232052.5,0.00018753516284303307,-2.4679742662453696e-05,0.0003997500683485198,0.00018753516284303307,-2.4679742662453696e-05,0.0003997500683485198,True,9.573581931599792e-06
new_meningitis_adm,0.045387029042983,166429606.5,0.0001250234418953554,-4.825471959168408e-05,0.0002983016033823949,0.0001250234418953554,-4.825471959168408e-05,0.0002983016033823949,False,0.06275737349153204
new_encephalitis_adm,0.37322868071126736,166473553.5,0.00018753516284303307,-2.4679742662453696e-05,0.0003997500683485198,0.00018753516284303307,-2.4679742662453696e-05,0.0003997500683485198,False,0.4159364401956413
new_endocarditis_adm,0.4526809666355395,166476051.5,0.0005000937675814216,0.00015360245032704562,0.0008465850848357974,0.0005000937675814216,0.00015360245032704562,0.0008465850848357974,False,0.4760588569312716
new_pneumonia_adm,0.22844281469894384,166398922.5,0.0036881915359129845,0.0027487286484996487,0.004627654423326319,0.0036881915359129845,0.0027487286484996487,0.004627654423326319,False,0.2679119921076619
new_pyelonephritis_adm,0.4522526153553327,166469957.0,0.002625492279802463,0.0018324254956711087,0.0034185590639338173,0.002625492279802463,0.0018324254956711087,0.0034185590639338173,False,0.4760588569312716
new_osteo_adm,0.002272292753493916,166184981.0,0.0045633556291804715,0.0035188176731447357,0.005607893585216206,0.0045633556291804715,0.0035188176731447357,0.005607893585216206,True,0.0036618242934002673
new_septicemia_adm,0.0018424349896829504,165198968.0,0.0638869788085266,0.06009692326395799,0.06767703435309523,0.0638869788085266,0.06009692326395799,0.06767703435309523,True,0.003012448450284532
new_cdiff_adm,0.04430881434990532,165966629.5,0.032443583171844724,0.029697726833796106,0.035189439509893346,0.032443583171844724,0.029697726833796106,0.035189439509893346,False,0.062422480593577315
new_tb_adm,0.14498989951166058,166459192.0,6.25117209476777e-05,-6.0018272150995764e-05,0.0001850417140463512,6.25117209476777e-05,-6.0018272150995764e-05,0.0001850417140463512,False,0.17943501376028712
new_atypicalmyco_adm,0.01735586988225132,166408703.0,0.0006251172094767769,0.00023775236921128907,0.0010124820497422649,0.0006251172094767769,0.00023775236921128907,0.0010124820497422649,True,0.02524490164691101
new_fungal_adm,0.057922952416348435,166427108.5,0.0005626054885290992,0.00019510744120382914,0.0009301035358543694,0.0005626054885290992,0.00019510744120382914,0.0009301035358543694,False,0.07816109241724127
new_listeriosis_adm,0.10752617415200748,166464782.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.13842450005775678
new_leishmaniasis_adm,,,0.0,0.0,0.0,0.0,0.0,0.0,,
new_pcp_adm,0.22822922723496336,166467190.5,0.0001250234418953554,-0.00012003654430199153,0.0003700834280927024,0.0001250234418953554,-0.00012003654430199153,0.0003700834280927024,False,0.2679119921076619
chronic_pain,1.7076111368943114e-25,163454978.5,0.03888229042945552,0.035886306593658,0.041878274265253035,0.03888229042945552,0.035886306593658,0.041878274265253035,True,5.884690687143472e-25
ibd_surgery_adm,,,0.0,0.0,0.0,0.0,0.0,0.0,,
frailty_risk_score,2.2806040265734004e-53,150990005.5,5.3920672626117385,5.321907645838403,5.462226879385077,5.3920672626117385,5.321907645838403,5.462226879385077,True,1.1105550042444385e-52
frailty_risk_category,1.4644492152886936e-32,156181481.0,1.485841095205351,1.4768851861706231,1.4947970042400789,1.485841095205351,1.4768851861706231,1.4947970042400789,True,5.290913293946249e-32
frailty_risk_category_index,1.0516164935653018e-34,155957604.5,0.443770707007564,0.4360708705652587,0.4514705434498692,0.443770707007564,0.4360708705652587,0.4514705434498692,True,3.9925778738750435e-34
h_contrl,0.07138731363090675,165332126.0,2.045571044570857,2.037467325318645,2.053674763823069,2.045571044570857,2.037467325318645,2.053674763823069,False,0.09518308484120899
hosp_bedsize,0.0002615441586973735,163550759.5,2.569481777833344,2.5591554250031887,2.5798081306634986,2.569481777833344,2.5591554250031887,2.5798081306634986,True,0.00045415419804815244
hosp_ur_teach,0.2526467722110015,165879106.0,0.6670000625117211,0.6575537383752971,0.6764463866481448,0.6670000625117211,0.6575537383752971,0.6764463866481448,False,0.2902198819244325
hosp_urcat4,1.931386337884372e-06,162387550.5,1.5030318184659623,1.4925159439565883,1.5135476929753366,1.5030318184659623,1.4925159439565883,1.5135476929753366,True,3.969087520055957e-06
prevent_readm,3.606260928884185e-10,163435287.0,0.0978308432831156,0.09322009443515894,0.10244159213107223,0.0978308432831156,0.09322009443515894,0.10244159213107223,True,9.17957327352338e-10
cardiac_adm,0.0773366983427551,165894626.0,0.056823154341439024,0.053235302583768566,0.060411006099109474,0.056823154341439024,0.053235302583768566,0.060411006099109474,False,0.10190247311045378
cvd_adm,,,0.0,0.0,0.0,0.0,0.0,0.0,,
resp_adm,7.600421402953329e-07,164460991.5,0.06820028755391637,0.06429341139511474,0.07210716371271797,0.06820028755391637,0.06429341139511474,0.07210716371271797,True,1.6061267870391937e-06
infxn_adm,0.4098393109988329,166346561.0,0.12958679752453586,0.12438182585897492,0.1347917691900968,0.12958679752453586,0.12438182585897492,0.1347917691900968,False,0.4487189614599161
gu_adm,0.14014559945252025,166142328.0,0.03431893480027505,0.03149757149284292,0.03714029810770718,0.03431893480027505,0.03149757149284292,0.03714029810770718,False,0.1744034126520252
gi_adm,0.4131422719263712,166339077.5,0.16290554478964805,0.15718245681309573,0.16862863276620038,0.16290554478964805,0.15718245681309573,0.16862863276620038,False,0.4492420820946949
endo_adm,8.993110409500207e-05,165522969.0,0.025067200100018755,0.0226444115592247,0.02748998864081281,0.025067200100018755,0.0226444115592247,0.02748998864081281,True,0.00016115653853824368
